X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.564418769999975,43.458730488000015,82,GROUND RACK,Private,Mary Johnston Public School,475 BRYNHURST BLVD,10,-80.56441876974,43.4587304883499,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.564458159999958,43.458717249000017,83,GROUND RACK,Private,Mary Johnston Public School,475 BRYNHURST BLVD,10,-80.5644581604408,43.4587172489203,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.564495962999956,43.458704465000011,84,GROUND RACK,Private,Mary Johnston Public School,475 BRYNHURST BLVD,10,-80.5644959631709,43.4587044653525,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.564536929999974,43.458692387000013,85,GROUND RACK,Private,Mary Johnston Public School,475 BRYNHURST BLVD,10,-80.5645369301853,43.4586923871575,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.504288214999974,43.513173921,86,WAVE RACK,Private,Millen Woods Public School,640 NEW HAMPSHIRE ST,10,-80.5042882154582,43.51317392144,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.504274667999937,43.513155118000014,87,WAVE RACK,Private,Millen Woods Public School,640 NEW HAMPSHIRE ST,10,-80.5042746684934,43.5131551176345,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.504316162999942,43.513140541000013,88,WAVE RACK,Private,Millen Woods Public School,640 NEW HAMPSHIRE ST,10,-80.5043161626178,43.5131405413455,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.504330533999962,43.513158950000019,89,WAVE RACK,Private,Millen Woods Public School,640 NEW HAMPSHIRE ST,10,-80.5043305343361,43.5131589498328,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.564902381999957,43.495828710000012,90,GROUND RACK,Private,Northlake Woods Public School,98 NORTHLAKE DR,10,-80.5649023824424,43.4958287098602,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.564866862999963,43.495840092,91,GROUND RACK,Private,Northlake Woods Public School,98 NORTHLAKE DR,10,-80.564866863491,43.4958400920881,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
